Match_SK,match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
209,501238,Kochi Tuskers Kerala,Delhi Daredevils,30-04-11,2011,Nehru Stadium,Kochi,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,V Sehwag,38,1
210,501239,Kolkata Knight Riders,Kings XI Punjab,30-04-11,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,Iqbal Abdulla,8,1
211,501240,Rajasthan Royals,Pune Warriors,01-05-11,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,LRPL Taylor,6,1
212,501241,Chennai Super Kings,Deccan Chargers,01-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,JA Morkel,19,1
213,501242,Mumbai Indians,Kings XI Punjab,02-05-11,2011,Wankhede Stadium,Mumbai,India,Kings XI Punjab,Mumbai Indians,field,runs,Result,KA Pollard,23,1
214,501243,Delhi Daredevils,Kochi Tuskers Kerala,02-05-11,2011,Feroz Shah Kotla,Delhi,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,wickets,Result,P Parameswaran,7,1
215,501244,Deccan Chargers,Kolkata Knight Riders,03-05-11,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Kolkata Knight Riders,field,runs,Result,YK Pathan,20,1
216,501245,Chennai Super Kings,Rajasthan Royals,04-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Rajasthan Royals,Chennai Super Kings,bat,wickets,Result,MEK Hussey,8,1
217,501246,Pune Warriors,Mumbai Indians,04-05-11,2011,Dr DY Patil Sports Academy,Mumbai,India,Pune Warriors,Mumbai Indians,field,runs,Result,R Sharma,21,1
218,501247,Kochi Tuskers Kerala,Kolkata Knight Riders,05-05-11,2011,Nehru Stadium,Kochi,India,Kolkata Knight Riders,Kochi Tuskers Kerala,field,runs,Result,BJ Hodge,17,1
219,501248,Deccan Chargers,Delhi Daredevils,05-05-11,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,V Sehwag,4,1
220,501249,Royal Challengers Bangalore,Kings XI Punjab,06-05-11,2011,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Royal Challengers Bangalore,field,runs,Result,CH Gayle,85,1
221,501250,Kolkata Knight Riders,Chennai Super Kings,07-05-11,2011,Eden Gardens,Kolkata,India,Chennai Super Kings,Kolkata Knight Riders,bat,runs,Result,Iqbal Abdulla,10,1
222,501251,Mumbai Indians,Delhi Daredevils,07-05-11,2011,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Mumbai Indians,field,runs,Result,AT Rayudu,32,1
223,501252,Royal Challengers Bangalore,Kochi Tuskers Kerala,08-05-11,2011,M Chinnaswamy Stadium,Bangalore,India,Kochi Tuskers Kerala,Royal Challengers Bangalore,bat,wickets,Result,CH Gayle,9,1
224,501253,Kings XI Punjab,Pune Warriors,08-05-11,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Pune Warriors,bat,wickets,Result,R Sharma,5,1
225,501254,Rajasthan Royals,Chennai Super Kings,09-05-11,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Chennai Super Kings,field,runs,Result,M Vijay,63,1
226,501255,Deccan Chargers,Pune Warriors,10-05-11,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Pune Warriors,bat,wickets,Result,MR Marsh,6,1
227,501256,Kings XI Punjab,Mumbai Indians,10-05-11,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Mumbai Indians,Kings XI Punjab,field,runs,Result,BA Bhatt,76,1
228,501257,Rajasthan Royals,Royal Challengers Bangalore,11-05-11,2011,Sawai Mansingh Stadium,Jaipur,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,S Aravind,9,1
229,501258,Chennai Super Kings,Delhi Daredevils,12-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,MS Dhoni,18,1
